word,examples,word_audio,word_search
"das Denkmal, ¨-er",['In dieser Stadt gibt es viele berühmte Denkmäler.'],das Denkmal,Denkmal
denn,"['Ich lerne jetzt auch Portugiesisch, denn ich möchte nach Südamerika reisen.', 'Wie ist das Spiel denn ausgegangen?']",denn,denn
"derselbe, dieselbe, dasselbe",['Mein Freund und ich gehen in dieselbe Schule.'],"derselbe, dieselbe, dasselbe",derselbe
deshalb,['Ich war krank. Deshalb war ich nicht im Büro.'],deshalb,deshalb
"das Dessert, -s → D, A: Nachspeise",['Nach dem Essen gab es noch ein leckeres Dessert.'],das Dessert,Dessert
deswegen,['Ich habe falsch geparkt. Deswegen habe ich einen Strafzettel bekommen.'],deswegen,deswegen
"das Detail, -s",['Dieses Detail ist unwichtig. 2.      Ich habe alles bis ins kleinste Detail vorbereitet.'],das Detail,Detail
deutlich,['Schreiben Sie bitte deutlich!'],deutlich,deutlich
"die Diät, -en",['Ich möchte abnehmen. Deshalb mache ich eine Diät.'],die Diät,Diät
"der Dialekt, -e","['Ich verstehe dich besser, wenn du nicht Dialekt sprichst.']",der Dialekt,Dialekt
"der Dialog, -e",['Sie hören jetzt einen Dialog.'],der Dialog,Dialog
dicht,['Unsere Fenster sind nicht dicht. Es zieht immer.'],dicht,dicht
dick,"['Ich bin zu dick. Ich muss weniger essen.', 'Die Wände sind hier sehr dick.']",dick,dick
"der Dieb, -e",['Ein Dieb hat mir auf dem Markt die Tasche gestohlen.'],der Dieb,Dieb
"dienen, dient, diente, hat gedient","['Solche Kontakte dienen der Verbesserung der internationalen Beziehungen.', 'Dieser Raum dient als Aufenthaltsraum.', 'Er hat der Firma viele Jahre lang gedient.']",dienen,dienen
"der Dienst, -e","['Als Krankenschwester habe ich oft Frühdienst.', 'Morgen habe ich Dienst. Deshalb kann ich nicht kommen.']",der Dienst,Dienst
dies-,"['Wohin fährst du dieses Jahr in Urlaub?', 'Welche Hose nehmen Sie? – Diese hier.']",dies-,dies-
diesmal,['Die letzten Spiele haben wir verloren. Diesmal haben wir zum Glück gewonnen.'],diesmal,diesmal
digital,['Ich habe eine Digitaluhr gekauft. Die geht genauer als meine alte Uhr.'],digital,digital
"das Ding, -e",['Gib mir bitte mal das Ding da drüben.'],das Ding,Ding
"das Diplom, -e",['Wo kann ich mein Diplom abholen?'],das Diplom,Diplom
direkt,"['Wir liefern Ihnen die Waren direkt ins Haus.', 'Das Dorf liegt direkt an der Autobahn.', 'Gibt es keinen direkten Zug nach Hamburg?', 'Sie übertragen das Fußballspiel direkt.']",direkt,direkt
"der Direktor, -en die Direktorin, -nen",['Ich möchte gern mit dem Direktor sprechen.'],"der Direktor, die Direktorin",Direktor
"die Diskothek, -en/Disko, -s",['Wir gehen heute Abend in die Disko(thek).'],die Diskothek,Diskothek
"diskutieren, diskutiert, diskutierte, hat diskutiert","['Wir haben lange diskutiert, wie wir das Büro einrichten sollen.']",diskutieren,diskutieren
"die Diskussion, -en",['Im Fernsehen gab es eine Diskussion zum Thema „Kinderbetreuung“.'],die Diskussion,Diskussion
"die Distanz, -en",['Diese Firma transportiert Waren auch über große Distanzen.'],die Distanz,Distanz
doch,"['Isst du kein Fleisch? – Doch, manchmal schon.', 'Ich habe es mir anders überlegt. Ich komme doch mit in die Stadt.', 'Ihr kommt doch heute Abend?', 'Fragen Sie doch Herrn Müller, der ist Computerspezialist.', 'Ach, wenn doch schon Sonntag wäre!']",doch,doch
"der Doktor, -en die Doktorin, -nen","['Ist Frau Dr. Müller da?', 'Meine Tochter ist krank. Wir gehen zum Doktor.']","der Doktor, die Doktorin",Doktor
"das Dokument, -e","['Hast du alle Dokumente für die Anmeldung dabei?', 'Dieser Stein ist ein wichtiges Dokument für die alte römische Kultur.']",das Dokument,Dokument
"donnern, donnert, donnerte, hat gedonnert","['Hörst du es donnern? Das Gewitter kommt näher.', 'Der Lkw donnert über die Landstraße.']",donnern,donnern
"der Donner, -",['Der Donner kam erst lange nach dem Blitz.'],der Donner,Donner
doppelt,['Das Buch habe ich doppelt.'],doppelt,doppelt
Doppel-,"['Wir hätten gern ein Doppelbett.', 'Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?']",Doppel-,Doppel-
"das Dorf, ¨-er",['Unser Dorf liegt direkt an der Autobahn.'],das Dorf,Dorf
dort,"['Dort drüben ist der Bahnhof.', 'Ich werde in fünf Minuten dort sein.']",dort,dort
dorthin,['Deine Tasche kannst du dorthin stellen.'],dorthin,dorthin
"die Dose, -n → D, CH: Büchse",['Ich habe noch eine Dose Bohnen.'],die Dose,Dose
draußen,"['Es ist kalt draußen.', 'Wir müssen draußen warten.']",draußen,draußen
der Dreck,"['Iss den Apfel nicht! Der lag im Dreck.', 'Ich konnte vor lauter Dreck auf dem Fenster nichts sehen.', 'Kümmere dich um deinen eigenen Dreck!']",der Dreck,Dreck
"drehen, dreht, drehte, hat gedreht","['Drehen Sie zum Einschalten den Schalter nach rechts.', 'Die Kinder drehen sich zur Musik im Kreis.', 'Bei Familie Huber dreht sich jetzt alles um das Baby.']",drehen,drehen
dringend,"['Ich muss dich dringend sprechen.', 'Ich erwarte einen dringenden Anruf.', 'Bitte kommen Sie schnell. Es ist dringend.']",dringend,dringend
drinnen/drin,"['Wo wollt ihr sitzen? Draußen oder drinnen?', 'Bei der Hitze ist es drinnen viel angenehmer.', 'In der Packung ist nichts mehr drin.']",drinnen,drinnen
"die Droge, -n",['Nimmst du etwa Drogen?'],die Droge,Droge
"die Drogerie, -n",['Waschmittel bekommst du in der Drogerie.'],die Drogerie,Drogerie
drüben,['Dort drüben ist die Haltestelle.'],drüben,drüben
"drucken, druckt, druckte, hat gedruckt","['Warum hast du den Brief noch nicht ausgedruckt?', 'Bei welcher Firma haben Sie diese Prospekte drucken lassen?', 'Du gehst einfach auf „Datei drucken“!']",drucken,drucken
"der Drucker, -",['Ich brauche einen neuen Drucker für meinen Computer.'],der Drucker,Drucker
"drücken, drückt, drückte, hat gedrückt","['Sie brauchen nur auf den Knopf zu drücken.', 'Die neuen Schuhe drücken.', 'Wenn du hier drückst, geht die Tür auf.']",drücken,drücken
"der Druck, ¨-e","['Mit einem Knopfdruck schaltet man das Gerät ein.', 'Wie hoch muss der Druck in den vorderen Reifen sein?']",der Druck,Druck
dumm,"['Entschuldigung, das war dumm von mir.', 'Mir ist etwas Dummes passiert.', 'Ich fand den Film wirklich sehr dumm.']",dumm,dumm
dunkel,"['Um sechs Uhr ist es schon dunkel.', 'Meine Schwester hat dunkle Haare.', 'Ich habe mir eine dunkelblaue Bluse gekauft.']",dunkel,dunkel
dünn,"['Mein Sohn ist sehr dünn. Er isst zu wenig.', 'Warum ziehst du nur so einen dünnen Mantel an? Es ist kalt draußen.']",dünn,dünn
durch,"['Wir sind mit dem Fahrrad durch den Wald gefahren.', 'Wenn Sie zum Bahnhof gehen, kommen Sie durch die Goethestraße.', 'Wir haben den ganzen Mai durch', 'Wir haben unsere Wohnung durch']",durch,durch
durcheinander,"['Alle meine Sachen sind durcheinander. Ich finde nichts mehr.', 'Bitte redet nicht alle durcheinander. Sonst verstehe ich nichts.']",durcheinander,durcheinander
"die Durchsage, -n","['Achtung, Achtung, eine wichtige Durchsage!', 'Ich habe die Durchsage nicht verstanden.']",die Durchsage,Durchsage
"der Durchschnitt, -e","['Der Durchschnitt der Ausgaben liegt bei 150 Euro im Monat.', 'Im Durchschnitt brauchen wir täglich 20 Minuten zur Arbeit.', 'Die Studentin gehört zum Durchschnitt.']",der Durchschnitt,Durchschnitt
durchschnittlich,['Die Preise sind im letzten Jahr um durchschnittlich 6 % gestiegen.'],durchschnittlich,durchschnittlich
"dürfen, darf, durfte, hat gedurft (hat dürfen als Modalverb)","['Dürfen wir heute länger fernsehen?', 'Sie dürfen hier nicht parken.', 'Das hätten Sie nicht machen dürfen!', 'Was darf ich Ihnen anbieten?', 'Ich suche ein gebrauchtes Auto. Es darf nicht mehr als 1000 Euro kosten.']",dürfen,dürfen
der Durst,['Ich hole Ihnen etwas zu trinken. Sie haben sicher Durst.'],der Durst,Durst
durstig,['Du bist sicher durstig. Was möchtest du trinken?'],durstig,durstig
"(sich) duschen, duscht, duschte, hat geduscht","['Wenn Sie sich duschen wollen: Das Badezimmer ist dort hinten links.', 'Ich bade nicht so gern, ich dusche lieber.']",sich duschen,duschen
"die Dusche, -n","['Wir haben leider nur noch ein Zimmer mit Dusche.', 'Unsere Wohnung hat nur eine Dusche.']",die Dusche,Dusche
"duzen, duzt, duzte, hat geduzt","['Wollen wir Du zueinander sagen? Ja, wir können uns gern duzen?']",duzen,duzen
eben,"['Ich bin eben erst angekommen.', 'Ich gebe auf. Ich habe eben kein Glück!']",eben,eben
ebenfalls,"['Ich wünsche Ihnen ein schönes Wochenende. – Danke, ebenfalls.']",ebenfalls,ebenfalls
ebenso,"['Schöne Feiertage. – Danke, ebenso.']",ebenso,ebenso
die e-card (A) → D: die Versichertenkarte,['Haben Sie Ihre e-card dabei?'],die e-card,e-card
echt,"['Ich träume von einem echten Perserteppich.', 'Der Film war echt gut.']",echt,echt
"die EC-Karte, -n → A: Bankomat-Karte",['Bezahlen Sie bar? Sie können auch mit der EC-Karte zahlen.'],die EC-Karte,EC-Karte
"die Ecke, -n (D, CH) → A: Eck","['Das Regal stellen wir hier in die Ecke.', 'Das bekommen Sie im Kiosk an der Ecke.', 'Wo ist die Apotheke? − Gleich um die Ecke.']",die Ecke,Ecke
"das Eck, -en (A) → D, CH: Ecke","['Das Regal stellen wir hier ins Eck.', 'Das bekommen Sie im Kiosk am Eck.', 'Wo ist die Apotheke? − Gleich ums Eck.']",das Eck,Eck
eckig,"['Ich möchte einen eckigen Tisch, keinen runden.']",eckig,eckig
egal,"['Es ist mir ganz egal, was die Leute denken.', 'Egal, wie das Wetter ist, ich gehe schwimmen.']",egal,egal
"die Ehe, -n",['Sie hat zwei Kinder aus erster Ehe.'],die Ehe,Ehe
"die Ehefrau, -en/der","['Wie heißt Ihre Ehefrau mit Vornamen? Ehemann, ¨-er']",die Ehefrau,Ehefrau
"das Ehepaar, -e",['Das Ehepaar unter uns hat zwei Kinder.'],das Ehepaar,Ehepaar
eher,"['Ich stehe meist eher auf als mein Mann.', 'Michael sieht gerne Serien, ich mag eher Krimis.']",eher,eher
ehrlich,"['Sie ist ein ehrlicher Mensch.', 'Bitte sei in dieser Sache ehrlich.', 'Die Pause haben wir uns ehrlich verdient.']",ehrlich,ehrlich
"das Ei, -er",['Möchtest du zum Frühstück ein Ei?'],das Ei,Ei
eigen-,"['Fast jedes Kind hat ein eigenes Zimmer.', 'Manche Leute haben keine eigene Meinung.']",eigen-,eigen-
eigentlich,"['Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben.', 'Die Sängerin nennt sich Arabella. Aber eigentlich heißt sie Uschi Müller.', 'Was willst du eigentlich von mir?']",eigentlich,eigentlich
"sich eignen, eignet sich, eignete sich, hat sich geeignet",['Dieses Hotel eignet sich besonders für Familien mit Kindern.'],sich eignen,eignen
"eilen, eilt, eilte, hat/ist geeilt",['Es eilt sehr. Bitte machen Sie schnell.'],eilen,eilen
die Eile,"['Ich bin sehr in Eile', 'Das hat keine Eile.']",die Eile,Eile
eilig,['Hast du es eilig?'],eilig,eilig
ein-,"['Ich nehme ein Bier. Willst du auch eins?', 'Wir haben zu wenig Mitspieler. Wir brauchen noch einen.']",ein-,ein-
"die Einbahnstraße, -n",['Die Goethestraße ist jetzt eine Einbahnstraße.'],die Einbahnstraße,Einbahnstraße
"einbrechen, bricht ein, brach ein, ist eingebrochen",['Jemand ist in unsere Wohnung eingebrochen.'],einbrechen,einbrechen
"der Einbrecher, -","['Die Einbrecher haben nichts gestohlen. die Einbrecherin, -nen']",der Einbrecher,Einbrecher
"der Einbruch, ¨-e",['In der Urlaubszeit gibt es viele Wohnungseinbrüche.'],der Einbruch,Einbruch
eindeutig,"['Das Ergebnis ist eindeutig. Du hast gewonnen.', 'Du kannst eindeutig besser kochen als ich.']",eindeutig,eindeutig
"der Eindruck, ¨-e","['Ich finde die Leute auf der Straße ziemlich unfreundlich. Wie ist dein Eindruck?', 'Ich glaube, ich habe bei dem Vorstellungsgespräch einen guten Eindruck gemacht.']",der Eindruck,Eindruck
einerseits,"['Einerseits möchte ich die Reise gern machen, andererseits ist sie zu teuer.']",einerseits,einerseits
einfach,"['Hin und zurück? – Nein, bitte nur einfach.', 'Ich verstehe das nicht. Kannst du das bitte einfacher sagen?', 'Wir haben am Wochenende einen Ausflug gemacht. Es war einfach toll.']",einfach,einfach
"die Einfahrt, -en","['Da parkt wieder jemand vor unserer Einfahrt.', 'Können Sie nicht lesen: Einfahrt freihalten!']",die Einfahrt,Einfahrt
"einfallen, fällt ein, fiel ein, ist eingefallen","['Mir ist wieder eingefallen, wie das Buch heißt.']",einfallen,einfallen
"der Einfall, ¨-e",['Frag einfach meine Freundin. Sie hat immer gute Einfälle.'],der Einfall,Einfall
"der Einfluss, ¨-e",['Das Wetter hat Einfluss auf die Gesundheit der Menschen.'],der Einfluss,Einfluss
"beeinflussen, beeinflusst, beeinflusste, hat beeinflusst",['Dieses Ereignis hat die Wahlen'],beeinflussen,beeinflussen
"einfügen, fügt ein, fügte ein, hat eingefügt","['Markieren Sie zuerst die Zeilen, dann „kopieren“ drücken und dann einfügen.']",einfügen,einfügen
"einführen, führt ein, führte ein, hat eingeführt","['Dürfen wir diese Ware ins Land einführen?', 'Wir haben letztes Jahr ein neues System eingeführt.']",einführen,einführen
"die Einführung, -en",['Leider habe ich die Einführung des Kurses verpasst.'],die Einführung,Einführung
"der Eingang, ¨-e","['Das Gebäude hat zwei Eingänge.', 'Der Eingang ist um die Ecke.']",der Eingang,Eingang
einheitlich,['Die Schüler dieser Schule tragen einheitliche Kleidung.'],einheitlich,einheitlich
einig-,"['In diesem Bericht sind einige Fehler.', 'Das wird noch einige Zeit dauern.', 'Einige Leute sind für das Gesetz, aber viele sind auch dagegen.']",einig-,einig-
"sich einigen, einigt sich, einigte sich, hat sich geeinigt",['Jeder hat einen anderen Vorschlag. Wir können uns leider nicht einigen.'],sich einigen,einigen
"einkaufen, kauft ein, kaufte ein, hat eingekauft",['Wir gehen einmal pro Woche einkaufen.'],einkaufen,einkaufen
"der Einkauf, ¨-e","['Achten Sie beim Einkauf auf Sonderangebote.', 'Ich habe alle Einkäufe erledigt. Jetzt können wir einen Kaffee trinken.']",der Einkauf,Einkauf
"das Einkommen, -",['Bei einem höheren Einkommen muss man mehr Steuern zahlen.'],das Einkommen,Einkommen
"einladen, lädt ein, lud ein, hat eingeladen",['Darf ich Sie zum Essen einladen?'],einladen,einladen
"die Einladung, -en",['Danke für die Einladung.'],die Einladung,Einladung
einmal,"['Ich habe diese Oper leider nur einmal gesehen.', 'Bitte rufen Sie morgen noch einmal an.', 'Auf einmal ging das Licht aus.', 'Ich kann nicht alles auf einmal machen.', 'Sehen wir uns (ein)mal wieder?', 'Vor Jahren habe ich (ein)mal in Wien gewohnt.', 'Komm doch bitte (ein)mal her und hilf mir.']",einmal,einmal
"einnehmen, nimmt ein, nahm ein, hat eingenommen",['Wie muss ich die Tropfen einnehmen?'],einnehmen,einnehmen
"die Einnahme, -n",['Unser Geschäft läuft gut. Unsere Einnahmen waren in diesem Monat höher als im letzten.'],die Einnahme,Einnahme
"einpacken, packt ein, packte ein, hat eingepackt","['Hast du Handtücher eingepackt?', 'Soll ich Ihnen das als Geschenk einpacken?']",einpacken,einpacken
"einrichten, richtet ein, richtete ein, hat eingerichtet","['Ich habe meine Wohnung selbst eingerichtet.', 'Wenn Sie Fragen haben, rufen Sie uns an. Wir haben eine extra Telefon-nummer eingerichtet.']",einrichten,einrichten
"die Einrichtung, -en","['Deine Wohnung ist sehr gemütlich, die Einrichtung gefällt mir sehr gut.']",die Einrichtung,Einrichtung
einsam,['Ohne meine Familie fühle ich mich ein bisschen einsam.'],einsam,einsam
"einschalten, schaltet ein, schaltete ein, hat eingeschaltet",['Können Sie bitte die Heizung einschalten?'],einschalten,einschalten
einschließlich,['Alles zusammen kostet 200 Euro einschließlich Fahrtkosten.'],einschließlich,einschließlich
"das Einschreiben, -",['Ich habe den Brief als Einschreiben geschickt.'],das Einschreiben,Einschreiben
"einsetzen, setzt ein, setzte ein, hat eingesetzt","['Ich glaube, wir müssen jemanden einsetzen, der sich um die Organisation kümmert.', 'Peter hat sich dafür eingesetzt, dass ich den Job bekomme.']",einsetzen,einsetzen
"einsteigen, steigt ein, stieg ein, ist eingestiegen","['Ab 20 Uhr vorne beim Fahrer einsteigen.', 'Steig ein. Wir wollen losfahren.']",einsteigen,einsteigen
"einstellen, stellt ein, stellte ein, hat eingestellt","['Die Firma wird in diesem Jahr drei neue Leute einstellen.', 'Das Gerät ist nicht richtig eingestellt.']",einstellen,einstellen
"eintragen, trägt ein, trug ein, hat eingetragen",['Tragen Sie sich bitte in die Liste ein.'],eintragen,eintragen
"eintreten, tritt ein, trat ein, ist eingetreten",['Letztes Jahr bin ich in einen Sportverein eingetreten.'],eintreten,eintreten
"der Eintritt, -e","['Kinder über 10 Jahre zahlen den vollen Eintritt.', 'Der Eintritt ist frei.']",der Eintritt,Eintritt
einverstanden,"['Als Termin schlage ich den 3. Mai vor. – Gut, einverstanden!', 'Bist du einverstanden, wenn wir bald nach Hause gehen?']",einverstanden,einverstanden
"der Einwohner, die Einwohnerin, -nen",['Berlin hat über drei Millionen Einwohner.'],"der Einwohner, die Einwohnerin",Einwohner
"einzahlen, zahlt ein, zahlte ein, hat eingezahlt",['Ich habe gestern Geld auf mein Bankkonto eingezahlt.'],einzahlen,einzahlen
"die Einzahlung, -en",['Sie sollten die Einzahlung pünktlich machen.'],die Einzahlung,Einzahlung
einzeln,"['Dieses Mineralwasser gibt es nur als Sechserpack, nicht einzeln.', 'Die Schüler mussten einzeln zum Schularzt kommen.']",einzeln,einzeln
Einzel-,"['z. B. Einzelkind, Einzelzimmer']",Einzel-,Einzel-
"die Einzelheit, -en",['Du musst mir das in allen Einzelheiten erzählen.'],die Einzelheit,Einzelheit
einzig-,"['Wir waren die einzigen Gäste.', 'Das war das einzige Mal, dass ich ihn gesehen habe.']",einzig-,einzig-
"einziehen, zieht ein, zog ein, ist eingezogen",['Die Wohnung ist fertig. Wir können nächste Woche einziehen.'],einziehen,einziehen
das Eis,"['Im Winter gibt es Eis und Schnee.', 'Bitte eine Cola ohne Eis.']",das Eis,Eis
"das Eis (D, A) → CH: Glace/Glacé",['Zum Nachtisch gibt es Schokoladeneis.'],das Eis,Eis
"die Eisenbahn, -en",['Die Kinder wünschen sich eine elektrische Eisenbahn.'],die Eisenbahn,Eisenbahn
elegant,['Ich finde dein Kleid sehr elegant.'],elegant,elegant
elektrisch,"['Wir kochen nicht mit Gas, sondern elektrisch.']",elektrisch,elektrisch
Elektro-,"['z.B. Elektrogeschäft, Elektroingenieur, Elektroherd']",Elektro-,Elektro-
elektronisch,"['Wir sollten die Daten elektronisch bearbeiten, sonst dauert es zu lange.']",elektronisch,elektronisch
die Eltern (Pl.),['Ich wohne noch bei meinen Eltern.'],die Eltern,Eltern
"empfangen, empfängt, empfing, hat empfangen","['Wir können mit unserem Fernseher über 30 Programme empfangen.', 'Die Gäste wurden sehr herzlich empfangen.']",empfangen,empfangen
"der Empfang, ¨-e","['Bitte den Empfang bestätigen!', 'Ich bin mit dem Fernseher nicht zufrieden. Der Empfang ist sehr schlecht.', 'Zur Firmeneröffnung bitten wir zu einem kleinen Empfang.']",der Empfang,Empfang
"der Empfänger, -",['Es fehlt die genaue Adresse des Empfängers.'],der Empfänger,Empfänger
"empfehlen, empfiehlt, empfahl, hat empfohlen",['Was können Sie mir denn empfehlen?'],empfehlen,empfehlen
"die Empfehlung, -en",['Ich rufe auf Empfehlung von Herrn Weber an.'],die Empfehlung,Empfehlung
"enden, endet, endete, hat geendet","['Die Straße endet hier.', 'Das Arbeitsverhältnis endet im Mai.']",enden,enden
"das Ende, -n","['Ich wohne am Ende der Straße.', 'Die nächste Prüfung findet Ende August statt.', 'Rinaldo ist Ende fünfzig.', 'Am Dienstag gehen die Ferien zu Ende.']",das Ende,Ende
endgültig,"['Damit ist das Problem endgültig gelöst.', 'Der endgültige Termin steht noch nicht fest.', 'Das Ergebnis ist noch nicht endgültig.']",endgültig,endgültig
endlich,"['Endlich haben wir eine schöne Wohnung gefunden.', 'Haben Sie sich nun endlich entschieden?']",endlich,endlich
"die Energie, -n","['Wir müssen Energie sparen.', 'Abends habe ich keine Energie mehr, um Sport zu machen.']",die Energie,Energie
eng,"['Die Jacke ist mir zu eng.', 'Wir arbeiten mit dieser Firma eng zusammen.']",eng,eng
"der Enkel, die Enkelin, -nen",['Alle meine Enkel gehen schon zur Schule.'],"der Enkel, die Enkelin",Enkel
"entdecken, entdeckt, entdeckte, hat entdeckt",['Ich habe in deinem Brief noch ein paar Fehler entdeckt.'],entdecken,entdecken
"entfernen, entfernt, entfernte, hat entfernt","['Der Müll muss dringend entfernt werden.', 'Das Hotel liegt etwa 100 m vom Strand entfernt.']",entfernen,entfernen
"die Entfernung, -en",['Aus dieser Entfernung ist das nicht zu erkennen.'],die Entfernung,Entfernung
entgegenkommen,"['Auf dem Weg nach Hause ist mir mein Nachbar entgegengekommen.', 'Können Sie mir mit dem Preis entgegenkommen?']",entgegenkommen,entgegenkommen
"enthalten, enthält, enthielt, hat enthalten","['Diese Schokolade enthält nur sehr wenig Zucker.', 'Ist die Änderung im Preis enthalten?']",enthalten,enthalten
entlang,['Gehen Sie diese Straße entlang. Dann kommen Sie direkt zum Bahnhof.'],entlang,entlang
"entlassen, entlässt, entließ, hat entlassen","['Die Operation ist gut gelaufen. Wir können Sie nächste Woche aus dem Krankenhaus entlassen.', 'Die Firma hat viele Mitarbeiter entlassen.']",entlassen,entlassen
"die Entlassung, -en",['Seine Entlassung aus der Firma kam überraschend.'],die Entlassung,Entlassung
"entscheiden, entscheidet, entschied, hat entschieden","['Das kann ich nicht allein entscheiden, da muss ich erst fragen.', 'Für welchen Anzug haben Sie sich entschieden?']",entscheiden,entscheiden
"die Entscheidung, -en",['Diese wichtige Entscheidung möchte ich zuerst mit meinem Mann besprechen.'],die Entscheidung,Entscheidung
unentschieden,"['Es steht unentschieden zwischen den beiden Mannschaften.', 'Ich bin noch immer unentschieden, was ich morgen tun soll.']",unentschieden,unentschieden
"sich entschließen, entschließt sich, entschloss sich, hat sich entschlossen","['Mein Nachbar hat sich nun doch entschlossen, sein Auto zu verkaufen.']",sich entschließen,entschließen
entschlossen,"['Ich bin fest entschlossen, diese Ausbildung fertigzumachen.']",entschlossen,entschlossen
"entschuldigen, entschuldigt, entschuldigte, hat entschuldigt","['Entschuldigen Sie bitte, dass ich Sie störe. Aber es gibt ein Problem.', 'Herr Meier lässt sich entschuldigen, er ist stark erkältet.']",entschuldigen,entschuldigen
"die Entschuldigung, -en","['Oh, Entschuldigung! – Macht nichts. Kein Problem.']",die Entschuldigung,Entschuldigung
"entsorgen, entsorgt, entsorgte, hat entsorgt",['Wie kann ich meine alte Kaffeemaschine entsorgen?'],entsorgen,entsorgen
entspannend,['Der Urlaub war sehr entspannend.'],entspannend,entspannend
"entstehen, entsteht, entstand, ist entstanden","['Hier entsteht ein neues Einkaufszentrum.', 'Andere Kosten entstehen nicht.']",entstehen,entstehen
"enttäuschen, enttäuscht, enttäuschte, hat enttäuscht","['Leider hat mich sein Verhalten enttäuscht.', 'Wir waren von dem Konzert sehr enttäuscht.', 'Das Ergebnis war enttäuschend.']",enttäuschen,enttäuschen
"die Enttäuschung, -en",['Das Endspiel war eine große Enttäuschung.'],die Enttäuschung,Enttäuschung
entweder ... oder,"['Nur einer kann gewinnen, entweder du oder ich.']",entweder ... oder,entweder ... oder
"entwickeln, entwickelt, entwickelte, hat entwickelt","['Unser Sohn entwickelt sich gut in der Schule.', 'Die Firma hat ein neues Produkt entwickelt.']",entwickeln,entwickeln
"die Entwicklung, -en",['Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.'],die Entwicklung,Entwicklung
"die Erde, -n","['Die Pflanzen brauchen neue Erde.', 'Mein Sohn hat das Glas auf die Erde fallen lassen.', 'An der Konferenz nehmen Vertreter']",die Erde,Erde
"der Erdapfel, ¨- (A) → Kartoffel",['Kann ich bitte noch Erdäpfel bekommen?'],der Erdapfel,Erdapfel
"das Erdgeschoss, -e",['Unsere Wohnung befindet sich im Erdgeschoss.'],das Erdgeschoss,Erdgeschoss
"das Ereignis, -se","['Alle Zeitungen haben über diese Ereignisse berichtet.', 'Das Konzert war ein großes Ereignis.']",das Ereignis,Ereignis
"sich ereignen, ereignet sich, ereignete sich, hat sich ereignet",['Der Unfall ereignete sich am frühen Morgen.'],sich ereignen,ereignen
"erfahren, erfährt, erfuhr, hat erfahren",['Wann erfahren wir das Ergebnis der Prüfung?'],erfahren,erfahren
"die Erfahrung, -en","['Ich habe zehn Jahre Erfahrung in diesem Beruf.', 'Mit diesem Gerät haben wir gute Erfahrungen gemacht.']",die Erfahrung,Erfahrung
"erfinden, erfindet, erfand, hat erfunden",['Das Rad wurde vor ca. 6000 Jahren erfunden.'],erfinden,erfinden
"die Erfindung, -en",['Die Erfindung des Buchdrucks war sehr wichtig für die Menschen.'],die Erfindung,Erfindung
"der Erfolg, -e","['Der Film war ein großer Erfolg.', 'Ich wünsche Ihnen viel Erfolg bei der Prüfung.']",der Erfolg,Erfolg
erfolgreich,['Mein Großvater war ein erfolgreicher Geschäftsmann.'],erfolgreich,erfolgreich
erforderlich,"['Hier ist die Liste der erforderlichen Zutaten für den Kuchen.', 'Es ist erforderlich, dass man den Pass persönlich abholt.']",erforderlich,erforderlich
"erfordern, erfordert, erforderte, hat erfordert",['Dieser Job erfordert viel Kraft.'],erfordern,erfordern
"erfüllen, erfüllt, erfüllte, hat erfüllt","['Sie müssen den Vertrag in allen Punkten erfüllen.', 'Wir erfüllen Ihnen jeden Wunsch.']",erfüllen,erfüllen
"ergänzen, ergänzt, ergänzte, hat ergänzt",['Ergänzen Sie bitte die fehlenden Angaben.'],ergänzen,ergänzen
"das Ergebnis, -se",['Ein so gutes Ergebnis hat uns alle überrascht.'],das Ergebnis,Ergebnis
"erhalten, erhält, erhielt, hat erhalten",['Ihr Schreiben vom 3. Januar haben wir erhalten.'],erhalten,erhalten
"erhöhen, erhöht, erhöhte, hat erhöht","['Die Regierung wird sicher bald wieder die Steuern erhöhen.', 'Die Zahl der Unfälle hat sich stark']",erhöhen,erhöhen
"die Erhöhung, -en",['Wir streiken für eine Lohnerhöhung.'],die Erhöhung,Erhöhung
"sich erholen, erholt sich, erholte sich, hat sich erholt","['Im Urlaub habe ich mich sehr gut erholt.', 'Er hat sich nach dem Unfall sehr schnell wieder erholt.']",sich erholen,erholen
"die Erholung, -en",['Ich habe zu viel gearbeitet. Jetzt brauche ich etwas Erholung.'],die Erholung,Erholung
"erinnern, erinnert, erinnerte, hat erinnert","['Bitte, erinnern Sie mich noch einmal an den Termin.', 'Ich erinnere mich noch genau an Francescos Vater.']",erinnern,erinnern
"die Erinnerung, -en",['An diese Zeit habe ich viele schöne Erinnerungen.'],die Erinnerung,Erinnerung
"sich erkälten, erkältet sich, erkältete sich, hat sich erkältet",['Der Junge hat sich beim Baden erkältet.'],sich erkälten,erkälten
erkältet,['Ich bin stark erkältet.'],erkältet,erkältet
"die Erkältung, -en",['Du hast eine schlimme Erkältung!'],die Erkältung,Erkältung
"erkennen, erkennt, erkannte, hat erkannt","['Ich habe Roberto gleich an seiner Stimme erkannt.', 'Auf dem Foto kann man kaum etwas erkennen.', 'Ich habe erkannt, dass es ein Fehler war, den Kurs nicht fertigzumachen.']",erkennen,erkennen
