word,examples,word_audio,word_search
aller-,"['Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.', 'Das ist das Allerschönste, was ich je gesehen habe.']",aller-,aller-
allerdings,"['Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.']",allerdings,allerdings
allgemein,"['Wir haben nur über allgemeine Probleme gesprochen.', 'Es ist allgemein bekannt, dass man hier gut essen kann.', 'Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.']",allgemein,allgemein
der Alltag,"['Das ist mein Alltag: putzen, waschen, kochen.']",der Alltag,Alltag
alltäglich,"['Das alltägliche Leben ist manchmal langweilig.', 'Der Roman erzählt eine ganz alltägliche Geschichte.']",alltäglich,alltäglich
"das Alphabet, -e",['Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?'],das Alphabet,Alphabet
als,"['Als mein Mann kam, war die Party schon zu Ende.', 'Sie können sich sowohl persönlich als auch im Internet anmelden.', 'Meine Schwester ist älter als ich.', 'Es ist später, als ich dachte.']",als,als
als ob,"['Er tut so, als ob wir nie darüber gesprochen hätten.']",als ob,als ob
also,"['Also, die Sache ist so: …', 'Irina hat Urlaub. Sie kann uns also helfen.', 'Also wirklich, jetzt reicht es.']",also,also
alt,"['Wie alt sind Sie?', 'Maria ist eine alte Freundin von mir.']",alt,alt
"das Alter, -","['Wir sind etwa im gleichen Alter.', 'Alter: 26 Jahre']",das Alter,Alter
"das Altenheim, -e → Altersheim",['Die Großeltern unserer Nachbarn sind im Altenheim.'],das Altenheim,Altenheim
"das Altersheim, -e → Altenheim",['Die Großeltern unserer Nachbarn sind im Altersheim.'],das Altersheim,Altersheim
alternativ,['Wir brauchen alternative Energien.'],alternativ,alternativ
"die Alternative, -n",['Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.'],die Alternative,Alternative
"die Ampel, -n",['Dort an der Ampel kannst du über die Straße gehen.'],die Ampel,Ampel
"das Amt, ¨-er",['Das Arbeitsamt befindet sich neben dem Busbahnhof.'],das Amt,Amt
"sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert",['Bei dem Fest haben wir uns sehr gut amüsiert.'],sich amüsieren,amüsieren
an,"['Am Anfang war alles sehr schwierig.', 'Dann sehen wir uns also am Dienstag.', 'Ich warte am Bahnhof auf dich.', 'Am besten, du gehst zur Information und fragst da.', 'Das Licht war die ganze Nacht an.']",an,an
"analysieren, analysiert, analysierte, hat analysiert",['Die Politiker analysieren die Situation auf dem Arbeitsmarkt.'],analysieren,analysieren
